sqft,bedrooms,bathrooms,age,lot_size,garage,neighborhood,has_pool,distance_city,condition,price
1660,4,3,89,1.91,2,8,1,28.4,8,649000
4572,2,2,21,0.88,1,9,1,17.5,10,1096000
3892,3,2,72,2.35,1,9,0,35.1,2,991000
1266,5,1,68,0.28,0,6,0,15.6,7,351000
4244,4,2,80,2.41,1,8,1,12.7,10,1124000
3971,3,3,48,0.69,1,2,1,22.5,8,851000
3719,4,3,97,0.12,3,8,1,20.6,5,758000
930,2,4,1,1.14,2,3,1,21.0,7,592000
2485,3,1,52,0.96,2,1,0,31.9,9,567000
1569,4,2,6,1.39,0,7,0,23.7,8,560000
3191,3,3,99,2.01,1,1,0,35.5,5,495000
3233,2,2,76,2.12,3,1,0,25.0,4,750000
1984,6,1,19,1.06,2,1,0,1.4,3,630000
4185,3,4,93,1.13,1,4,1,34.9,6,834000
4917,3,3,29,0.46,2,4,0,33.7,4,963000
3704,6,2,74,0.21,2,10,1,2.4,4,795000
1274,4,3,94,1.64,3,6,0,5.4,7,631000
1882,4,3,66,0.25,0,10,0,22.5,10,513000
3358,5,3,58,1.86,2,3,0,2.2,5,923000
2847,2,3,65,1.39,2,10,0,16.7,1,961000
3547,4,1,2,0.58,3,6,0,39.0,5,746000
1775,4,3,55,1.39,3,7,1,7.3,6,644000
2606,5,1,78,0.54,1,1,0,8.6,1,417000
989,4,1,16,1.15,2,6,0,27.2,3,515000
3534,4,4,51,2.02,2,10,0,2.2,6,1029000
3805,3,2,6,1.21,2,1,0,32.9,7,628000
2699,3,3,4,0.46,3,7,0,8.4,7,700000
2067,4,3,97,1.84,3,10,0,21.5,7,761000
2328,4,4,96,0.55,0,5,0,10.3,9,517000
4002,4,4,53,1.87,1,10,0,26.5,2,705000
4356,3,2,60,1.25,2,4,1,23.7,3,963000
4690,4,2,15,1.19,1,1,0,37.9,7,956000
1446,4,2,100,2.14,0,9,0,18.1,6,430000
3688,5,2,66,1.8,2,7,1,35.1,1,799000
3235,4,2,58,0.18,3,2,0,23.2,10,686000
1400,5,3,46,0.81,1,4,0,36.6,7,439000
3163,5,3,47,2.19,2,4,1,12.0,2,989000
2861,4,4,63,0.14,0,8,1,22.2,4,805000
1041,4,3,49,1.41,1,2,0,15.9,7,433000
2841,5,3,84,1.85,1,5,0,3.1,4,690000
3624,4,2,40,1.59,0,10,0,23.2,6,793000
3412,5,1,71,1.93,3,8,1,31.9,9,1106000
2163,4,2,21,1.84,3,6,0,22.5,5,697000
2278,4,3,53,1.76,2,4,0,11.5,3,533000
3356,3,2,4,2.07,1,5,0,10.9,6,1246000
1575,3,3,16,1.65,2,2,0,9.9,4,545000
4814,6,3,100,1.07,1,5,0,39.2,9,780000
834,4,2,77,1.23,1,3,1,16.3,2,350000
3952,4,2,40,1.82,2,3,1,13.0,10,1101000
2755,5,2,91,2.2,2,7,0,17.0,5,671000
2385,4,2,94,0.75,0,3,1,5.1,9,493000
4743,4,3,80,0.92,1,4,0,8.2,10,940000
3873,4,3,34,2.33,3,7,0,20.6,7,1117000
1821,4,3,39,1.49,2,3,0,32.1,5,588000
4261,2,3,21,0.53,3,10,0,35.1,8,953000
3413,3,3,47,1.69,3,10,0,34.7,2,1057000
4643,3,4,52,2.48,2,2,1,37.8,4,742000
2300,3,2,92,2.08,1,10,0,5.5,6,617000
961,4,3,9,1.89,2,7,1,2.1,7,641000
2781,3,2,17,0.6,1,5,0,4.7,8,706000
1795,2,2,98,2.2,1,1,0,24.2,4,318000
4142,3,2,79,1.36,2,10,0,22.5,9,1159000
4598,2,3,48,2.23,2,8,0,27.0,7,1028000
2075,4,2,70,0.89,1,3,1,15.2,2,526000
1816,5,2,29,0.25,2,7,0,16.0,9,681000
1137,4,4,18,1.24,2,6,0,22.1,7,598000
1678,3,3,54,0.75,1,10,0,3.6,5,601000
1876,2,3,59,1.82,1,6,1,32.1,3,393000
4793,3,3,86,2.4,1,8,0,37.0,9,1156000
1179,4,4,71,1.76,1,4,0,15.8,7,451000
1292,3,3,80,2.23,2,4,1,29.7,3,406000
2862,4,2,20,1.19,2,3,0,22.2,5,652000
4684,3,4,25,1.95,2,1,1,9.8,3,1066000
864,5,3,27,2.12,0,10,1,3.2,3,556000
3368,3,2,38,1.81,1,3,0,10.2,7,747000
2827,3,2,32,1.32,1,1,1,24.4,9,747000
3495,5,2,39,1.6,1,6,1,2.1,5,937000
2295,3,4,82,1.78,1,8,1,33.5,4,562000
1191,2,2,28,0.71,2,3,0,38.8,4,379000
4361,4,4,19,2.04,0,4,1,3.8,3,973000
3078,4,4,19,2.38,2,5,0,10.2,8,1018000
3899,4,3,73,1.22,2,7,0,27.2,10,865000
1000,3,3,11,1.78,2,6,1,32.3,1,508000
3904,3,2,96,1.87,0,2,1,14.2,3,778000
3254,3,1,24,1.69,3,7,0,20.9,2,706000
4445,2,1,24,1.41,3,8,0,35.7,7,1115000
1604,5,3,3,2.22,1,1,1,15.7,6,755000
3531,4,2,3,1.18,2,6,1,3.7,1,989000
3573,3,1,8,0.25,3,9,0,39.8,3,878000
2370,4,2,14,2.13,2,7,0,7.6,4,865000
3490,3,4,25,1.72,1,5,1,2.4,10,1094000
4640,5,2,78,2.14,2,10,0,16.7,7,1118000
1828,2,4,89,0.43,2,10,0,5.3,3,501000
1302,1,2,91,0.17,2,9,0,39.2,4,325000
1670,4,2,70,2.34,3,2,0,15.5,7,491000
1006,4,1,31,0.45,2,7,0,33.1,4,333000
2284,4,2,75,2.04,1,9,1,7.5,9,920000
1663,2,3,98,2.08,2,2,0,6.0,6,381000
3590,3,2,51,1.8,2,10,0,26.1,2,862000
1363,3,3,31,0.42,1,6,0,36.4,1,353000
4991,3,3,8,1.7,1,9,0,5.0,8,1325000
2557,5,3,77,2.23,3,3,0,23.8,3,732000
2478,2,3,12,1.12,2,8,0,3.9,7,642000
4042,3,2,55,1.09,1,5,1,32.6,4,914000
1859,4,3,43,1.16,1,7,1,36.4,3,477000
2522,3,4,96,0.3,2,3,0,25.3,9,534000
4114,4,4,95,2.24,2,8,0,27.7,6,1323000
3957,5,4,82,2.19,1,2,0,2.7,6,897000
3425,2,2,29,2.49,2,8,0,3.4,6,1054000
3529,5,3,15,1.5,0,2,0,7.6,3,829000
2397,4,3,11,1.9,1,7,1,11.3,6,793000
3860,3,1,73,0.59,2,2,0,30.5,4,609000
3493,3,3,65,1.7,0,7,1,17.7,2,974000
4427,3,3,17,1.66,3,1,0,3.6,3,1238000
2163,4,2,12,2.26,1,6,1,34.2,4,686000
2781,4,1,92,2.09,2,10,0,39.8,1,771000
2463,5,3,23,2.35,1,7,0,18.5,7,892000
2329,6,1,11,2.19,1,4,0,20.7,5,653000
2838,4,1,59,2.18,2,1,1,3.6,9,732000
4102,4,2,59,0.25,2,6,0,15.6,6,825000
3037,3,1,92,2.13,2,4,1,15.2,8,935000
2106,4,4,85,1.56,2,3,0,38.6,9,615000
4829,1,2,99,1.01,2,4,0,26.6,6,852000
3475,4,3,0,0.24,2,6,0,31.4,7,812000
2082,3,4,42,1.73,2,5,1,5.6,6,770000
1509,1,2,54,0.89,2,2,0,17.0,6,316000
4548,2,2,39,1.22,2,2,1,8.1,2,810000
1463,3,3,63,1.74,3,3,0,34.5,5,435000
2798,4,2,33,2.29,1,6,0,6.5,6,732000
4245,3,2,33,2.08,2,1,0,17.8,10,890000
4543,4,3,47,1.18,0,7,0,2.6,5,1103000
2295,3,3,32,1.03,1,8,0,25.6,4,847000
4104,4,3,67,0.68,2,7,0,19.5,6,1015000
4563,3,4,29,0.99,3,3,0,20.2,6,977000
2653,2,3,83,0.37,2,6,1,4.5,8,812000
2091,4,3,89,2.43,2,4,0,20.8,8,596000
4381,3,4,78,1.48,0,5,0,22.8,10,658000
4257,1,1,70,0.41,2,3,1,38.5,1,842000
2436,3,2,70,0.95,3,5,0,1.8,2,506000
4496,2,3,28,1.41,1,6,0,36.9,1,914000
3799,4,3,22,1.38,0,8,0,19.4,10,853000
3952,3,2,33,0.19,2,6,0,8.8,7,751000
1498,4,2,83,2.38,2,9,0,26.8,8,539000
2960,5,2,14,0.76,2,10,0,20.9,3,526000
4897,3,3,96,0.14,2,10,0,9.5,3,906000
1654,6,3,52,0.28,2,10,0,25.3,7,689000
4274,4,4,16,1.49,1,10,0,19.2,8,1180000
2507,4,3,63,0.43,2,4,0,27.7,6,431000
3577,4,3,83,0.2,1,2,0,27.7,8,776000
2533,4,2,60,1.01,1,9,0,19.2,2,891000
4310,4,2,56,1.59,2,3,0,15.9,7,1144000
1002,3,2,76,0.37,3,7,1,3.0,5,443000
4055,2,3,87,0.85,2,4,1,20.0,6,751000
1566,1,1,36,1.1,2,1,1,10.1,7,397000
3127,3,3,6,0.48,1,8,0,2.6,9,1145000
3731,3,3,7,1.31,1,4,0,13.6,7,822000
997,3,2,86,0.3,1,6,0,4.0,1,278000
2730,2,4,77,0.21,3,7,0,23.4,5,764000
4382,4,3,67,1.35,3,8,0,20.4,4,1172000
